Member_number,Date,itemDescription,Day,Season,Vacation
4474,10/11/2015,pastry,Wed,Winter,Yes
3354,27/01/2015,sausage,Thu,Winter,Yes
2389,4/06/2015,processed cheese,Fri,Winter,Yes
1742,5/07/2015,napkins,Sat,Winter,Yes
2574,18/05/2015,meat,Sun,Winter,Yes
4498,7/04/2015,pastry,Mon,Winter,Yes
4612,30/04/2015,sausage,Tue,Winter,Yes
1075,29/01/2015,pip fruit,Wed,Winter,Yes
1371,22/01/2015,frozen vegetables,Thu,Winter,Yes
2960,21/06/2015,citrus fruit,Fri,Winter,Yes
4434,23/02/2015,other vegetables,Sat,Winter,Yes
1378,12/10/2015,frankfurter,Sun,Winter,Yes
1615,25/01/2015,sausage,Mon,Winter,Yes
2503,8/02/2015,beef,Tue,Winter,Yes
2381,1/04/2015,hamburger meat,Wed,Winter,Yes
1613,25/08/2015,yogurt,Thu,Winter,Yes
1031,26/08/2015,beverages,Fri,Winter,Yes
3200,1/04/2015,whole milk,Sat,Winter,Yes
1138,24/02/2015,rolls/buns,Sun,Winter,Yes
4958,24/05/2015,tropical fruit,Mon,Winter,Yes
4858,15/02/2015,citrus fruit,Tue,Winter,Yes
1616,8/12/2015,whole milk,Wed,Winter,Yes
1270,3/02/2015,citrus fruit,Thu,Winter,Yes
2347,27/01/2015,soda,Fri,Winter,Yes
2076,4/12/2015,frankfurter,Sat,Winter,Yes
3597,7/07/2015,sausage,Sun,Winter,Yes
2151,29/09/2015,napkins,Mon,Winter,Yes
2940,7/11/2015,yogurt,Tue,Winter,Yes
3475,14/12/2015,herbs,Wed,Winter,Yes
2715,15/03/2015,sausage,Thu,Winter,Yes
3644,2/10/2015,yogurt,Fri,Winter,Yes
4573,25/01/2015,pork,Sat,Winter,Yes
1649,29/11/2015,curd,Sun,Winter,Yes
4079,17/08/2015,frankfurter,Mon,Winter,Yes
1844,13/11/2015,frankfurter,Tue,Winter,Yes
1420,8/12/2015,curd,Wed,Winter,Yes
2879,23/07/2015,liver loaf,Thu,Winter,Yes
2440,8/06/2015,pork,Fri,Winter,Yes
4095,29/12/2015,specialty bar,Sat,Winter,Yes
2437,15/11/2015,ice cream,Sun,Winter,Yes
1324,24/01/2015,specialty bar,Mon,Winter,Yes
4184,15/12/2015,yogurt,Tue,Winter,Yes
4574,3/10/2015,frozen vegetables,Wed,Winter,Yes
4881,26/03/2015,rolls/buns,Thu,Winter,Yes
3790,4/08/2015,pastry,Fri,Winter,Yes
2616,17/03/2015,pork,Sat,Winter,Yes
1275,4/06/2015,curd,Sun,Winter,Yes
2131,15/04/2015,beef,Mon,Winter,Yes
2509,3/02/2015,yogurt,Tue,Winter,Yes
3077,31/08/2015,chicken,Wed,Winter,Yes
3653,12/09/2015,detergent,Thu,Winter,Yes
2922,26/12/2015,pip fruit,Fri,Winter,Yes
2971,27/01/2015,coffee,Sat,Winter,Yes
1463,28/09/2015,tropical fruit,Sun,Winter,Yes
4323,11/10/2015,sauces,Mon,Winter,Yes
2632,1/07/2015,pork,Tue,Winter,Yes
1481,4/06/2015,yogurt,Wed,Winter,Yes
1283,6/03/2015,napkins,Thu,Winter,Yes
1164,1/02/2015,other vegetables,Fri,Winter,Yes
4275,11/09/2015,chicken,Sat,Winter,Yes
2600,18/02/2015,pork,Sun,Winter,Yes
2084,15/08/2015,root vegetables,Mon,Winter,Yes
1621,20/02/2015,ham,Tue,Winter,Yes
1291,6/03/2015,whole milk,Wed,Winter,Yes
3301,25/04/2015,soda,Thu,Winter,Yes
2715,8/01/2015,rolls/buns,Fri,Winter,Yes
4150,26/08/2015,tropical fruit,Sat,Winter,Yes
1775,11/10/2015,tropical fruit,Sun,Winter,Yes
2073,4/02/2015,sausage,Mon,Winter,Yes
1912,22/08/2015,bottled beer,Tue,Winter,Yes
4033,6/06/2015,turkey,Wed,Winter,Yes
4877,28/02/2015,meat,Thu,Winter,Yes
2590,28/09/2015,whole milk,Fri,Winter,Yes
3982,28/01/2015,soda,Sat,Winter,Yes
2782,9/06/2015,rolls/buns,Sun,Winter,Yes
2100,27/01/2015,dessert,Mon,Winter,Yes
1785,21/12/2015,sausage,Tue,Winter,Yes
3166,28/04/2015,pork,Wed,Winter,Yes
2251,29/03/2015,hamburger meat,Thu,Winter,Yes
1528,20/02/2015,sausage,Fri,Winter,Yes
2012,29/03/2015,rolls/buns,Sat,Winter,Yes
3309,28/10/2015,misc. beverages,Sun,Winter,Yes
1220,8/09/2015,pastry,Mon,Winter,Yes
2165,17/06/2015,soda,Tue,Winter,Yes
3337,1/02/2015,whole milk,Wed,Winter,Yes
4058,30/12/2015,domestic eggs,Thu,Winter,Yes
1000,27/05/2015,soda,Fri,Winter,Yes
3357,8/06/2015,pip fruit,Sat,Winter,Yes
2222,8/01/2015,yogurt,Sun,Winter,Yes
1207,14/11/2015,frankfurter,Mon,Winter,Yes
3511,7/06/2015,specialty chocolate,Tue,Winter,Yes
2171,2/08/2015,sausage,Wed,Winter,Yes
3078,1/09/2015,oil,Thu,Winter,Yes
3879,25/06/2015,tropical fruit,Fri,Winter,Yes
3472,6/02/2015,citrus fruit,Sat,Winter,Yes
4519,3/11/2015,napkins,Sun,Winter,Yes
3275,26/10/2015,whole milk,Mon,Winter,Yes
1763,13/09/2015,coffee,Tue,Winter,Yes
4619,27/05/2015,tropical fruit,Wed,Winter,Yes
2955,5/06/2015,canned beer,Thu,Winter,Yes
2700,15/11/2015,bottled beer,Fri,Winter,Yes
2830,28/05/2015,canned beer,Sat,Winter,Yes
4940,21/08/2015,rum,Sun,Winter,Yes
1311,29/06/2015,rolls/buns,Mon,Winter,Yes
4116,1/05/2015,pastry,Tue,Winter,Yes
1476,22/03/2015,whole milk,Wed,Winter,Yes
2918,4/11/2015,grapes,Thu,Winter,Yes
4121,1/11/2015,whole milk,Fri,Winter,Yes
1824,1/11/2015,yogurt,Sat,Winter,Yes
4293,5/07/2015,root vegetables,Sun,Winter,Yes
4308,5/12/2015,pastry,Mon,Winter,Yes
2998,14/07/2015,canned beer,Tue,Winter,Yes
2874,5/01/2015,sausage,Wed,Winter,Yes
1281,11/02/2015,tropical fruit,Thu,Winter,Yes
3471,14/01/2015,frankfurter,Fri,Winter,Yes
1936,15/08/2015,rolls/buns,Sat,Winter,Yes
4163,30/05/2015,frankfurter,Sun,Winter,Yes
3369,29/12/2015,sausage,Mon,Winter,Yes
2335,13/01/2015,whole milk,Tue,Winter,Yes
3957,15/02/2015,whole milk,Wed,Winter,Yes
4841,2/05/2015,whole milk,Thu,Winter,Yes
2184,7/12/2015,ham,Fri,Winter,Yes
3118,29/12/2015,whole milk,Sat,Winter,Yes
4728,25/04/2015,beef,Sun,Winter,Yes
2527,11/08/2015,domestic eggs,Mon,Winter,Yes
2926,8/11/2015,soda,Tue,Winter,Yes
1773,1/11/2015,whole milk,Wed,Winter,Yes
1801,12/06/2015,ham,Thu,Winter,Yes
1916,13/11/2015,curd,Fri,Winter,Yes
2523,4/04/2015,bottled water,Sat,Winter,Yes
2550,8/06/2015,butter milk,Sun,Winter,Yes
1319,19/05/2015,pork,Mon,Winter,Yes
1649,16/05/2015,pork,Tue,Winter,Yes
2202,7/08/2015,turkey,Wed,Winter,Yes
2569,16/07/2015,cream cheese ,Thu,Winter,Yes
2925,22/08/2015,tropical fruit,Fri,Winter,Yes
2293,24/06/2015,rolls/buns,Sat,Winter,Yes
2190,11/10/2015,citrus fruit,Sun,Winter,Yes
2234,24/12/2015,frankfurter,Mon,Winter,Yes
4779,24/10/2015,whipped/sour cream,Tue,Winter,Yes
3031,27/10/2015,tropical fruit,Wed,Winter,Yes
4275,5/07/2015,frankfurter,Thu,Winter,Yes
2696,9/05/2015,sausage,Fri,Winter,Yes
4453,2/08/2015,sausage,Sat,Winter,Yes
4776,8/02/2015,sausage,Sun,Winter,Yes
3471,12/10/2015,sliced cheese,Mon,Winter,Yes
3143,21/01/2015,candy,Tue,Winter,Yes
4312,22/04/2015,tropical fruit,Wed,Winter,Yes
3327,4/05/2015,pip fruit,Thu,Winter,Yes
4344,6/05/2015,citrus fruit,Fri,Winter,Yes
1718,11/03/2015,hamburger meat,Sat,Winter,Yes
3041,10/07/2015,other vegetables,Sun,Winter,Yes
4110,6/02/2015,nuts/prunes,Mon,Winter,Yes
2947,28/04/2015,ham,Tue,Winter,Yes
4280,6/12/2015,ham,Wed,Winter,Yes
3022,15/11/2015,butter,Thu,Winter,Yes
1941,16/09/2015,napkins,Fri,Winter,Yes
4494,6/08/2015,beef,Sat,Winter,Yes
2749,22/06/2015,frankfurter,Sun,Winter,Yes
1241,22/05/2015,meat,Mon,Winter,Yes
2066,23/03/2015,whole milk,Tue,Winter,Yes
1777,11/07/2015,sausage,Wed,Winter,Yes
2178,3/05/2015,sausage,Thu,Winter,Yes
4727,11/04/2015,rolls/buns,Fri,Winter,Yes
3433,1/10/2015,root vegetables,Sat,Winter,Yes
3035,8/11/2015,sausage,Sun,Winter,Yes
1464,7/03/2015,sausage,Mon,Winter,Yes
4161,3/05/2015,meat,Tue,Winter,Yes
2654,25/11/2015,sausage,Wed,Winter,Yes
2206,21/03/2015,citrus fruit,Thu,Winter,Yes
3950,5/12/2015,chocolate,Fri,Winter,Yes
1706,7/03/2015,coffee,Sat,Winter,Yes
3726,26/05/2015,sausage,Sun,Winter,Yes
3325,29/11/2015,beef,Mon,Winter,Yes
3732,29/11/2015,berries,Tue,Winter,Yes
2563,6/01/2015,frozen meals,Wed,Winter,Yes
4924,1/03/2015,beef,Thu,Winter,Yes
1742,12/12/2015,sausage,Fri,Winter,Yes
4929,27/07/2015,rolls/buns,Sat,Winter,Yes
1092,9/10/2015,frankfurter,Sun,Winter,Yes
1907,19/07/2015,sausage,Mon,Winter,Yes
3540,5/03/2015,pip fruit,Tue,Winter,Yes
2990,11/07/2015,grapes,Wed,Winter,Yes
4088,5/03/2015,chocolate marshmallow,Thu,Winter,Yes
2028,20/12/2015,coffee,Fri,Winter,Yes
3026,24/01/2015,soda,Sat,Winter,Yes
2209,20/04/2015,bottled beer,Sun,Winter,Yes
4071,15/10/2015,butter,Mon,Winter,Yes
4393,24/11/2015,fruit/vegetable juice,Tue,Winter,Yes
2047,8/05/2015,meat,Wed,Winter,Yes
4610,19/07/2015,pip fruit,Thu,Winter,Yes
1269,30/09/2015,other vegetables,Fri,Winter,Yes
3629,11/01/2015,frankfurter,Sat,Winter,Yes
1899,19/10/2015,long life bakery product,Sun,Winter,Yes
1982,24/02/2015,tropical fruit,Mon,Winter,Yes
4977,19/04/2015,whole milk,Tue,Winter,Yes
2399,12/02/2015,canned beer,Wed,Winter,Yes
2675,15/09/2015,canned beer,Thu,Winter,Yes
2760,12/07/2015,other vegetables,Fri,Winter,Yes
2058,4/06/2015,soda,Sat,Winter,Yes
4065,7/07/2015,rolls/buns,Sun,Winter,Yes
1450,16/11/2015,bags,Mon,Winter,Yes
3739,6/08/2015,rolls/buns,Tue,Winter,Yes
3128,21/07/2015,dessert,Wed,Winter,Yes
2331,28/11/2015,canned beer,Thu,Winter,Yes
2505,10/10/2015,butter,Fri,Winter,Yes
3758,13/01/2015,whole milk,Sat,Winter,Yes
3574,13/02/2015,canned beer,Sun,Winter,Yes
2563,29/12/2015,coffee,Mon,Winter,Yes
2128,9/07/2015,chicken,Tue,Winter,Yes
1230,27/01/2015,soda,Wed,Winter,Yes
4373,12/08/2015,beef,Thu,Winter,Yes
1693,5/09/2015,spread cheese,Fri,Winter,Yes
2743,13/07/2015,citrus fruit,Sat,Winter,Yes
1612,5/03/2015,canned beer,Sun,Winter,Yes
1835,22/06/2015,rolls/buns,Mon,Winter,Yes
3574,8/05/2015,pip fruit,Tue,Winter,Yes
4102,8/04/2015,pip fruit,Wed,Winter,Yes
1283,15/03/2015,whole milk,Thu,Winter,Yes
4719,4/10/2015,chocolate,Fri,Winter,Yes
4596,5/06/2015,sausage,Sat,Winter,Yes
1380,13/05/2015,pip fruit,Sun,Winter,Yes
1150,4/12/2015,other vegetables,Mon,Winter,Yes
2937,20/06/2015,dessert,Tue,Winter,Yes
2495,4/07/2015,frankfurter,Wed,Winter,Yes
3581,25/12/2015,citrus fruit,Thu,Winter,Yes
3458,27/04/2015,citrus fruit,Fri,Winter,Yes
3723,14/03/2015,pip fruit,Sat,Winter,Yes
2249,22/01/2015,tropical fruit,Sun,Winter,Yes
1430,17/12/2015,frankfurter,Mon,Winter,Yes
3039,28/11/2015,pip fruit,Tue,Winter,Yes
3455,1/02/2015,canned beer,Wed,Winter,Yes
1831,9/01/2015,pork,Thu,Winter,Yes
4831,27/02/2015,rolls/buns,Fri,Winter,Yes
3816,18/12/2015,canned beer,Sat,Winter,Yes
2314,6/09/2015,citrus fruit,Sun,Winter,Yes
2743,24/03/2015,grapes,Mon,Winter,Yes
1538,30/11/2015,tropical fruit,Tue,Winter,Yes
3604,15/04/2015,frozen fish,Wed,Winter,Yes
4734,22/11/2015,tropical fruit,Thu,Winter,Yes
2363,24/06/2015,beverages,Fri,Winter,Yes
1484,27/08/2015,sausage,Sat,Winter,Yes
1764,29/09/2015,whole milk,Sun,Winter,Yes
3595,23/03/2015,sausage,Mon,Winter,Yes
4303,25/12/2015,pork,Tue,Winter,Yes
2695,7/01/2015,whole milk,Wed,Winter,Yes
4538,28/11/2015,sausage,Thu,Winter,Yes
1979,21/11/2015,pastry,Fri,Winter,Yes
1148,27/09/2015,soda,Sat,Winter,Yes
3443,4/04/2015,tropical fruit,Sun,Winter,Yes
3334,17/03/2015,whole milk,Mon,Winter,Yes
2508,6/10/2015,canned beer,Tue,Winter,Yes
4136,11/08/2015,pip fruit,Wed,Winter,Yes
3599,25/05/2015,turkey,Thu,Winter,Yes
4540,20/10/2015,yogurt,Fri,Winter,Yes
2590,16/12/2015,whipped/sour cream,Sat,Winter,Yes
3361,21/06/2015,finished products,Sun,Winter,Yes
2855,8/11/2015,sausage,Mon,Winter,Yes
3949,1/04/2015,other vegetables,Tue,Winter,Yes
4836,3/07/2015,newspapers,Wed,Winter,Yes
2464,13/05/2015,white wine,Thu,Winter,Yes
1788,9/10/2015,sausage,Fri,Winter,Yes
2061,5/04/2015,misc. beverages,Sat,Winter,Yes
1963,30/12/2015,yogurt,Sun,Winter,Yes
1485,15/05/2015,beef,Mon,Winter,Yes
1771,20/03/2015,other vegetables,Tue,Winter,Yes
3758,4/09/2015,photo/film,Wed,Winter,Yes
3180,4/05/2015,tropical fruit,Thu,Winter,Yes
2406,7/12/2015,sausage,Fri,Winter,Yes
2255,27/04/2015,frankfurter,Sat,Winter,Yes
4826,25/01/2015,tropical fruit,Sun,Winter,Yes
1737,23/01/2015,citrus fruit,Mon,Winter,Yes
2404,8/03/2015,pork,Tue,Winter,Yes
3467,28/01/2015,soda,Wed,Winter,Yes
3395,19/08/2015,whole milk,Thu,Winter,Yes
3405,4/03/2015,cookware,Fri,Winter,Yes
2718,23/03/2015,butter,Sat,Winter,Yes
2927,3/02/2015,frozen vegetables,Sun,Winter,Yes
4137,26/12/2015,chicken,Mon,Winter,Yes
3282,22/06/2015,frankfurter,Tue,Winter,Yes
4567,10/09/2015,tropical fruit,Wed,Winter,Yes
4550,9/11/2015,root vegetables,Thu,Winter,Yes
4223,3/10/2015,meat,Fri,Winter,Yes
2363,25/10/2015,hamburger meat,Sat,Winter,Yes
4806,24/11/2015,tropical fruit,Sun,Winter,Yes
1153,8/12/2015,whole milk,Mon,Winter,Yes
4515,11/01/2015,whole milk,Tue,Winter,Yes
3200,11/02/2015,hamburger meat,Wed,Winter,Yes
1012,3/10/2015,frankfurter,Thu,Winter,Yes
2585,14/03/2015,soda,Fri,Winter,Yes
2229,19/03/2015,whipped/sour cream,Sat,Winter,Yes
3406,23/10/2015,whole milk,Sun,Winter,Yes
2234,15/07/2015,citrus fruit,Mon,Winter,Yes
2549,14/06/2015,pip fruit,Tue,Winter,Yes
3385,16/02/2015,root vegetables,Wed,Winter,Yes
1746,8/08/2015,pip fruit,Thu,Winter,Yes
4632,9/03/2015,onions,Fri,Winter,Yes
1476,29/03/2015,tropical fruit,Sat,Winter,Yes
4738,15/08/2015,other vegetables,Sun,Winter,Yes
4235,26/04/2015,citrus fruit,Mon,Winter,Yes
3574,5/11/2015,canned beer,Tue,Winter,Yes
4614,23/02/2015,root vegetables,Wed,Winter,Yes
2216,17/11/2015,tropical fruit,Thu,Winter,Yes
4425,17/10/2015,butter milk,Fri,Winter,Yes
4666,2/12/2015,root vegetables,Sat,Winter,Yes
1148,9/07/2015,pork,Sun,Winter,Yes
2351,6/01/2015,pip fruit,Mon,Winter,Yes
3543,17/05/2015,canned beer,Tue,Winter,Yes
2955,6/06/2015,tropical fruit,Wed,Winter,Yes
2257,13/03/2015,pork,Thu,Winter,Yes
2612,1/02/2015,pip fruit,Fri,Winter,Yes
3488,21/12/2015,rolls/buns,Sat,Winter,Yes
2021,12/01/2015,meat,Sun,Winter,Yes
2186,1/09/2015,soda,Mon,Winter,Yes
1696,2/03/2015,root vegetables,Tue,Winter,Yes
3309,17/05/2015,root vegetables,Wed,Winter,Yes
3092,24/12/2015,sausage,Thu,Winter,Yes
4497,20/02/2015,butter,Fri,Winter,Yes
1848,27/06/2015,sauces,Sat,Winter,Yes
2466,27/07/2015,beef,Sun,Winter,Yes
4411,22/07/2015,ham,Mon,Winter,Yes
2295,21/03/2015,rolls/buns,Tue,Winter,Yes
1914,21/01/2015,tropical fruit,Wed,Winter,Yes
1290,22/09/2015,sausage,Thu,Winter,Yes
2293,19/12/2015,tropical fruit,Fri,Winter,Yes
4027,12/05/2015,soda,Sat,Winter,Yes
4693,1/07/2015,whole milk,Sun,Winter,Yes
1056,13/09/2015,pip fruit,Mon,Winter,Yes
4221,27/02/2015,whole milk,Tue,Winter,Yes
3248,14/01/2015,chicken,Wed,Winter,Yes
2815,10/09/2015,root vegetables,Thu,Winter,Yes
4207,8/07/2015,rolls/buns,Fri,Winter,Yes
1160,4/09/2015,butter,Sat,Winter,Yes
3868,22/01/2015,tropical fruit,Sun,Winter,Yes
3707,26/06/2015,sausage,Mon,Winter,Yes
2335,23/07/2015,soda,Tue,Winter,Yes
3432,4/04/2015,rolls/buns,Wed,Winter,Yes
4510,5/04/2015,tropical fruit,Thu,Winter,Yes
2893,6/10/2015,tropical fruit,Fri,Winter,Yes
4902,16/04/2015,UHT-milk,Sat,Winter,Yes
3443,23/10/2015,root vegetables,Sun,Winter,Yes
1864,30/06/2015,pip fruit,Mon,Winter,Yes
2071,30/09/2015,whole milk,Tue,Winter,Yes
3092,11/04/2015,dessert,Wed,Winter,Yes
2845,1/10/2015,other vegetables,Thu,Winter,Yes
2314,25/11/2015,pork,Fri,Winter,Yes
3882,19/10/2015,frankfurter,Sat,Winter,Yes
4309,15/09/2015,whole milk,Sun,Winter,Yes
2369,8/09/2015,frankfurter,Mon,Winter,Yes
1787,9/05/2015,whipped/sour cream,Tue,Winter,Yes
3284,19/11/2015,curd,Wed,Winter,Yes
1375,11/10/2015,other vegetables,Thu,Winter,Yes
1949,6/03/2015,ham,Fri,Winter,Yes
4805,4/05/2015,whole milk,Sat,Winter,Yes
3759,2/04/2015,whole milk,Sun,Winter,Yes
3160,27/02/2015,soda,Mon,Winter,Yes
2764,23/01/2015,margarine,Tue,Winter,Yes
4225,1/05/2015,pip fruit,Wed,Winter,Yes
2719,10/04/2015,other vegetables,Thu,Winter,Yes
3856,2/04/2015,whole milk,Fri,Winter,Yes
4079,20/09/2015,pork,Sat,Winter,Yes
2455,4/01/2015,sausage,Sun,Winter,Yes
1582,6/08/2015,curd,Mon,Winter,Yes
1776,15/02/2015,canned beer,Tue,Winter,Yes
3096,22/08/2015,napkins,Wed,Winter,Yes
3453,16/12/2015,chewing gum,Thu,Winter,Yes
2731,11/04/2015,ice cream,Fri,Winter,Yes
3899,24/12/2015,bottled water,Sat,Winter,Yes
4886,26/01/2015,liver loaf,Sun,Winter,Yes
4455,4/01/2015,citrus fruit,Mon,Winter,Yes
2690,6/03/2015,chicken,Tue,Winter,Yes
2171,28/07/2015,citrus fruit,Wed,Winter,Yes
3015,12/06/2015,bottled water,Thu,Winter,Yes
4938,29/03/2015,pip fruit,Fri,Winter,Yes
3449,10/10/2015,whole milk,Sat,Winter,Yes
1848,6/07/2015,hamburger meat,Sun,Winter,Yes
3818,17/12/2015,turkey,Mon,Winter,Yes
1540,23/02/2015,ham,Tue,Winter,Yes
1424,9/10/2015,citrus fruit,Wed,Winter,Yes
3888,13/12/2015,sausage,Thu,Winter,Yes
2711,18/08/2015,yogurt,Fri,Winter,Yes
3363,25/01/2015,butter,Sat,Winter,Yes
4633,17/08/2015,chicken,Sun,Winter,Yes
2864,3/08/2015,beverages,Mon,Winter,Yes
2500,5/01/2015,onions,Tue,Winter,Yes
1477,13/05/2015,bottled beer,Wed,Winter,Yes
1635,25/11/2015,butter,Thu,Winter,Yes
2401,19/12/2015,root vegetables,Fri,Winter,Yes
4971,17/05/2015,sausage,Sat,Winter,Yes
1230,19/05/2015,ham,Sun,Winter,Yes
4414,23/01/2015,soda,Mon,Winter,Yes
2906,8/07/2015,chicken,Tue,Winter,Yes
3856,22/03/2015,sausage,Wed,Winter,Yes
4025,27/04/2015,other vegetables,Thu,Winter,Yes
1414,24/05/2015,whole milk,Fri,Winter,Yes
4793,24/11/2015,root vegetables,Sat,Winter,Yes
3101,17/01/2015,chicken,Sun,Winter,Yes
1651,17/12/2015,tropical fruit,Mon,Winter,Yes
4304,14/02/2015,pork,Tue,Winter,Yes
3663,7/11/2015,tropical fruit,Wed,Winter,Yes
2525,23/10/2015,chicken,Thu,Winter,Yes
1625,8/10/2015,other vegetables,Fri,Winter,Yes
3812,11/08/2015,whipped/sour cream,Sat,Winter,Yes
2879,28/12/2015,whole milk,Sun,Winter,Yes
4180,11/11/2015,root vegetables,Mon,Winter,Yes
4187,31/07/2015,sausage,Tue,Winter,Yes
4292,5/12/2015,frozen vegetables,Wed,Winter,Yes
3043,5/01/2015,beef,Thu,Winter,Yes
1819,18/12/2015,root vegetables,Fri,Winter,Yes
2446,8/09/2015,rolls/buns,Sat,Winter,Yes
1701,17/05/2015,canned beer,Sun,Winter,Yes
1047,9/08/2015,sweet spreads,Mon,Winter,Yes
1065,27/10/2015,beef,Tue,Winter,Yes
4360,23/02/2015,frozen vegetables,Wed,Winter,Yes
2818,11/11/2015,bottled water,Thu,Winter,Yes
2008,30/08/2015,domestic eggs,Fri,Winter,Yes
2624,18/08/2015,ice cream,Sat,Winter,Yes
4564,4/11/2015,ice cream,Sun,Winter,Yes
1049,1/07/2015,butter,Mon,Winter,Yes
4433,25/03/2015,sausage,Tue,Winter,Yes
3433,19/05/2015,ham,Wed,Winter,Yes
4799,22/04/2015,citrus fruit,Thu,Winter,Yes
4774,16/07/2015,red/blush wine,Fri,Winter,Yes
1153,18/02/2015,butter,Sat,Winter,Yes
4776,25/10/2015,whole milk,Sun,Winter,Yes
3596,19/01/2015,hard cheese,Mon,Winter,Yes
4097,28/11/2015,hygiene articles,Tue,Winter,Yes
2262,4/11/2015,soups,Wed,Winter,Yes
1518,7/09/2015,pastry,Thu,Winter,Yes
4593,18/08/2015,onions,Fri,Winter,Yes
4322,3/12/2015,ice cream,Sat,Winter,Yes
3633,29/12/2015,herbs,Sun,Winter,Yes
2356,31/08/2015,citrus fruit,Mon,Winter,Yes
4268,16/04/2015,white bread,Tue,Winter,Yes
2775,6/08/2015,pip fruit,Wed,Winter,Yes
4757,16/06/2015,misc. beverages,Thu,Winter,Yes
1231,27/01/2015,ice cream,Fri,Winter,Yes
4323,17/12/2015,pot plants,Sat,Winter,Yes
1182,21/01/2015,beef,Sun,Winter,Yes
3266,19/08/2015,canned beer,Mon,Winter,Yes
3109,29/06/2015,cat food,Tue,Winter,Yes
2450,31/07/2015,whipped/sour cream,Wed,Winter,Yes
1208,24/08/2015,shopping bags,Thu,Winter,Yes
2115,24/06/2015,berries,Fri,Winter,Yes
3774,17/12/2015,whole milk,Sat,Winter,Yes
2904,17/09/2015,root vegetables,Sun,Winter,Yes
3438,26/10/2015,pork,Mon,Winter,Yes
3872,22/01/2015,sausage,Tue,Winter,Yes
3985,20/01/2015,bottled water,Wed,Winter,Yes
2483,4/07/2015,ice cream,Thu,Winter,Yes
4445,1/12/2015,berries,Fri,Winter,Yes
2462,25/03/2015,bottled beer,Sat,Winter,Yes
1068,1/07/2015,pork,Sun,Winter,Yes
1458,24/02/2015,ice cream,Mon,Winter,Yes
1382,26/03/2015,curd,Tue,Winter,Yes
3048,10/11/2015,sausage,Wed,Winter,Yes
3501,27/07/2015,rolls/buns,Thu,Winter,Yes
2340,2/03/2015,other vegetables,Fri,Winter,Yes
1665,29/11/2015,other vegetables,Sat,Winter,Yes
3982,29/09/2015,root vegetables,Sun,Winter,Yes
1843,6/12/2015,other vegetables,Mon,Winter,Yes
3365,6/01/2015,pastry,Tue,Winter,Yes
3230,14/01/2015,other vegetables,Wed,Winter,Yes
2312,15/05/2015,other vegetables,Thu,Winter,Yes
3493,2/02/2015,citrus fruit,Fri,Winter,Yes
1474,24/06/2015,white bread,Sat,Winter,Yes
4907,21/04/2015,citrus fruit,Sun,Winter,Yes
3575,8/05/2015,whole milk,Mon,Winter,Yes
1509,13/05/2015,chocolate,Tue,Winter,Yes
1732,9/03/2015,citrus fruit,Wed,Winter,Yes
4975,23/04/2015,other vegetables,Thu,Winter,Yes
2947,16/07/2015,sausage,Fri,Winter,Yes
2509,20/04/2015,root vegetables,Sat,Winter,Yes
3061,17/08/2015,sausage,Sun,Winter,Yes
1916,16/11/2015,pip fruit,Mon,Winter,Yes
4214,9/06/2015,tropical fruit,Tue,Winter,Yes
1104,27/10/2015,pork,Wed,Winter,Yes
4702,3/08/2015,whole milk,Thu,Winter,Yes
2687,14/09/2015,mustard,Fri,Winter,Yes
3240,1/01/2015,citrus fruit,Sat,Winter,Yes
2816,15/05/2015,whole milk,Sun,Winter,Yes
1524,5/12/2015,root vegetables,Mon,Winter,Yes
2483,28/10/2015,citrus fruit,Tue,Winter,Yes
2101,4/09/2015,UHT-milk,Wed,Winter,Yes
3456,22/04/2015,soda,Thu,Winter,Yes
4461,13/02/2015,tropical fruit,Fri,Winter,Yes
1242,14/12/2015,shopping bags,Sat,Winter,Yes
4017,4/11/2015,bottled beer,Sun,Winter,Yes
1814,20/11/2015,beef,Mon,Winter,Yes
1486,11/02/2015,pip fruit,Tue,Winter,Yes
1514,11/01/2015,root vegetables,Wed,Winter,Yes
1710,21/05/2015,chicken,Thu,Winter,Yes
3032,5/06/2015,bottled water,Fri,Winter,Yes
4896,24/10/2015,flour,Sat,Winter,Yes
3373,24/12/2015,pip fruit,Sun,Winter,Yes
1746,14/10/2015,whole milk,Mon,Winter,Yes
1355,19/09/2015,frankfurter,Tue,Winter,Yes
1162,6/08/2015,canned beer,Wed,Winter,Yes
2712,26/09/2015,whole milk,Thu,Winter,Yes
1025,19/08/2015,canned beer,Fri,Winter,Yes
3067,17/07/2015,butter milk,Sat,Winter,Yes
2675,10/09/2015,margarine,Sun,Winter,Yes
1354,1/12/2015,whole milk,Mon,Winter,Yes
4828,14/05/2015,whole milk,Tue,Winter,Yes
1000,24/07/2015,canned beer,Wed,Winter,Yes
2822,18/12/2015,salty snack,Thu,Winter,Yes
1814,22/01/2015,root vegetables,Fri,Winter,Yes
1818,4/07/2015,sausage,Sat,Winter,Yes
3082,25/09/2015,brown bread,Sun,Winter,Yes
4398,9/11/2015,other vegetables,Mon,Winter,Yes
1932,12/05/2015,sausage,Tue,Winter,Yes
3180,6/02/2015,ham,Wed,Winter,Yes
4332,25/10/2015,domestic eggs,Thu,Winter,Yes
3175,26/02/2015,sausage,Fri,Winter,Yes
1357,6/09/2015,root vegetables,Sat,Winter,Yes
